singlish,english,meaning,sentiment_description,sentiment_score
4D,Local 4 digit lottery game run by Singapore Pools,Local lottery game,Neutral,-0.147
5Cs,Refers to the 5 Cs of Singapore (cash  car  credit card  condominium  country club membership),Materialistic success,Neutral,-0.121
11B,Official Singapore Army vernacular meaning '11 basic information',SAF identity card,Neutral,-0.095
abit,A little bit,Usually used sarcastically,Negative,-0.421
abuden,'Ar bo  then?',"Obviously; what else could it have been? Equivalent to ""duh"".",Neutral,-0.099
ACBC,"Acronym for ""act cute  buay cute."" Behaving in an exaggeratedly cutesy manner", but comes across as annoying,Negative,-0.713
act blur,To feign ignorance,Pretending not to know,Negative,-0.37
act cute,A phrase which describes behaving in a cutesy manner,Behaving in a cutesy manner,Neutral,-0.137
action,Refers to a person that is perceived as arrogant or haughty,Arrogant or haughty person,Negative,-0.959
agak agak / agak-agak,An estimate,An estimation,Neutral,-0.148
agak-ration,An estimate or estimation,An estimation,Neutral,-0.126
Ah Beng,A hillbilly  or someone with poor dress sense. Also used to refer to a gangster,Hillbilly/gangster,Negative,-0.622
Ah Seng,Ah Beng's sidekick. Also used to refer to a gangster,Ah Beng's sidekick/gangster,Negative,-0.591
ah,Exclamation. /  (... ah?),Exclamation/Expressing doubt,Neutral,-0.069
ah gua / ah kwa / ah qua,A transvestite  often assumed to be a Thai transsexual,Feminine male/transvestite,Negative,-0.493
Ah Lian,A hillbilly  someone with little dress sense; female form of Ah Beng. Also used to refer to a gangster,Hillbilly/gangster (female),Negative,-0.558
Ah Huay,Ah Lian's sidekick; female form of Ah Seng. Also used to refer to a gangster,Ah Lian's sidekick/gangster (female),Negative,-0.548
Ah Long,Slang term for a loan shark. / Sometimes used to mistranslate Lee Hsien Loong,Loan shark,Negative,-1.0
ah neh,means older brother; a shortened version of a racial slur,Older brother (potentially derogatory),Negative,-0.844
ah pu neh neh,A racial slur for Indians,Racial slur,Negative,-1.0
ah tiong,Sometimes used simply as Tiong. A derogatory term for Chinese nationals,Derogatory term for Chinese nationals,Negative,-1.0
ai see,Used to describe someone on thin ice,Being in a precarious situation,Negative,-0.741
ai see buay see,Used to describe someone on thin ice,Being in a precarious situation,Negative,-0.67
aiseh,An exclamation made in awe of something,Expression of awe,Positive,0.379
ai swee mai m'niah,Used on a person who is so vain their life or wellbeing is compromised,Extreme vanity,Negative,-0.778
ai sui,Refers to a person who is beauty conscious,Beauty conscious person,Neutral,-0.079
ai tzai / ai zai,Used in a reassuring manner to calm people down,Reassuring,Positive,0.24
Aiya(h) / Aiyo(h),"Oh no! ""Oh dear!""",Expression of dismay,Negative,-0.821
Aiyoh, so embarrassing!,Refers to a catchphrase popularized by Aunty Lucy,Negative,-0.459
Aiyoyo / Ai-yoh-yoh ,Extreme version of Aiyoh, popularized by the role played by Chen Liping,Negative,-0.583
akan datang,Means 'coming soon'  as seen in movie trailers. Used to reassure an impatient person,Coming soon,Positive,0.092
alamak,"Phonetically close to the Chinese term ""Oh  my mother!""",Expression of shock or dismay,Negative,-0.654
amacam,"A greeting  similar to ""What's up?""",Greeting,Neutral,-0.054
ang mo(h),A term for people of European descent,Term for Europeans,Neutral,-0.061
ang mo(h) pai,A term used among Chinese Singaporeans to insult those who speak good English but whose Chinese language skills are lacking  or whose mannerisms are perceived as too Western,Insult for Westernized Chinese,Negative,-0.842
ang pau / ang pow,Red packet with money to be given on Chinese New Year,Gift of money,Positive,0.52
an zhua?,"Hokkien equivalent of ""What's up?""",Asking what's up,Neutral,-0.127
ar,Used at the end of a sentence where opinions and affirmations are being sought. / Used as either a noun or a verb to denote a very cozy  non-sexual relationship with someone that might result in special considerations or leeway not available to anyone else without such a relationship.,Seeking affirmation/Cozy relationship,Positive,0.1
ar bo,"Means ""What else?"" or ""How else?""",Obvious answer,Neutral,-0.128
atas,"Used to describe a snobbish and arrogant person. / Used to describe a ""high class""  well-to-do or sophisticated person",Snobbish/High class,Negative,-0.541
ayam,Used to describe someone who is easily intimidated,Easily intimidated person,Negative,-0.702
ay / aye / ayy,To express a bit of ‘yeah’ feeling,Affirmative,Positive,0.057
balik kampong / balek kampung,Pack up one's things and go home. The term also refers to returning to one's hometown,Going home,Neutral,-0.113
bakkwa / bak kwa,A Chinese salty-sweet dried meat product similar to jerky,Dried meat snack,Positive,0.293
bao toh,The act of backstabbing someone  usually in an office or political context,Backstabbing,Negative,-1.0
barang barang,Personal belongings,Personal items,Neutral,-0.094
basket,"Replacement for the word ""Bastard""",Mildly vulgar insult,Negative,-0.565
berak,To defecate,Defecate,Neutral,-0.146
belanja,To treat or pay for someone,Treat someone,Positive,0.345
bird bird,Penis,Crude term for male genitalia,Negative,-0.692
bo cheng sa,shirtless / half-naked,Being shirtless,Neutral,-0.144
blur,Someone who is forgetful  clumsy  or oblivious,Forgetful/clumsy,Negative,-0.479
bodoh,Idiot  ignorant,Idiot,Negative,-0.957
bo(h) be(h) zao,Used to describe something that is of unrivalled excellence,Unrivaled excellence,Positive,0.856
bo(h) bian / bo(h) pien,No choice,No choice,Negative,-0.616
bo(h) chup,Hokkien for to not care/ disregard something,Not caring,Negative,-0.787
bo(h) eng,To have little or no time on one's hands,Being busy,Negative,-0.44
bo(h) gay / bo(h) ge(h),Usually used to describe someone with a missing tooth,Missing tooth,Neutral,-0.064
bo(h) jio / bojio,You didn't invite me,Not inviting someone,Negative,-0.384
bo(h) liao,A slang expression to describe being in a situation of idleness. Also used to describe an act of doing something silly,Bored/Silly,Negative,-0.414
bo(h) ta bo lan pa,"Usually used in drinking for ""bottoms up""",Bottoms up,Positive,0.158
bo(h) tao bo(h) be(h),A story that has no linkage,Incoherent story,Negative,-0.595
bo(h) tuah bo(h) suay,Ignorant or unaware of who is the 'senior' or 'junior',Ignorant of social hierarchy,Negative,-0.705
bo(h) zheng hu,Used to describe a lack of governance or authority,Lack of authority,Negative,-0.95
boleh,Can; possible,Ability,Positive,0.189
botak,Used to describe someone bald,Bald,Neutral,-0.115
buay,Means 'cannot',Cannot,Negative,-0.578
buaya,Refers to a womanizer or flirt,Womanizer,Negative,-0.852
buay pai,This is commonly used for food  saying that it isn't very bad or not bad. It can also be applied to other things,Not bad,Positive,0.275
buay song,To be unhappy or angry about something,Unhappy/Angry,Negative,-1.0
buay gan/kan,Useless,Useless,Negative,-0.965
buay steady,Usually used to reply to someone whose conduct spoils the pleasure of others. A spoilsport,Spoilsport,Negative,-0.667
buay tahan,"Means 'unable to withstand' or colloquially ""cannot stand it"" i.e. intolerable",Intolerable,Negative,-1.0
catch no ball,unable to understand something that someone says,Not understanding,Negative,-0.553
Calefare,An extra (actor playing a minor role),Extra in a movie,Neutral,-0.124
CB,May refer to either the Hokkien vulgarity jibai / chee bye / ci bai / chee bai  Chio bu or the Circuit Breaker lockdown back in 2020,Potentially offensive slang/lockdown,Negative,-0.94
cert,Abbreviation of 'certificate',Certificate,Neutral,-0.071
chao / chow,Used to refer to foul smells. / Used to describe cheating or playing foul (jiak chao) in a game. Darned,Smelly/Cheating,Negative,-0.981
chao keng,Feigning sickness or injury,Pretending to be sick,Negative,-0.696
chao mugger,Someone who frequently crams for tests for fear of failure,Crammer,Negative,-0.417
chap lau chu,A colloquial term to describe 10-storey flats,Ten-storey flat,Neutral,-0.129
char bor / zha bo,Girl/Woman,Woman,Neutral,-0.091
chee bai/ci bai,Vulgar term for the female sexual organ; or the English equivalent of 'cunt',Vulgar term for female genitalia,Negative,-1.0
chee ko pek,Hokkien or Teochew slang for 'pervert' or 'dirty old man',Pervert,Negative,-1.0
cheena,A slur used to denote Chinese people exhibiting very unpolished behaviour or mannerisms,Racial slur for Chinese people,Negative,-1.0
'cher / Tcher,"Corruption & abbreviation of ""teacher""",Teacher,Neutral,-0.128
chey / cheyyy,Used when you are disappointed or unimpressed,Disappointment,Negative,-0.608
chicken business,"Direct translation of the Cantonese slang 做鸡 (lit. 'do chicken')  which means to prostitute oneself (""chicken"" is the slang term for a prostitute)",Prostitution,Negative,-1.0
chi fan,To eat,Eating,Neutral,-0.105
chim / cheem,Used to describe something or a situation that is extremely hard to understand or comprehend,Hard to understand,Negative,-0.687
chin chai,When applied colloquially  it means 'anything' or 'whatever',Anything/Whatever,Neutral,-0.145
chio bu,"Generally means ""a fuckable girl"" or ""buxom woman""",Derogatory term for woman,Negative,-1.0
chiong,To rush or to charge,Rushing,Neutral,-0.126
chiong sua,"Otherwise used as a more exaggerated form of ""chiong""",Rushing (exaggerated),Neutral,-0.085
chop,Refers to stamp or seal,Stamp,Neutral,-0.105
chop chop,Used to tell someone to do something fast,Do something fast,Neutral,-0.069
chope,Slang for reserving a seat,Reserving a seat,Neutral,-0.068
chui,Something that is broken / or something that has gone wrong / Lousy,Broken/Lousy,Negative,-0.808
chiu kana kah, kah kana lum pah Used to describe a clumsy person,Clumsy person,Negative,-0.597
cik,lit. 'Miss' in Malay. When used in a military context  it is used to address female warrant officers in the Singapore Armed Forces,Military title,Neutral,-0.068
cmi,"An acronym for ""can't make it""",Can't make it,Negative,-0.452
cockanaathan,Similar meaning to 'cock fella'. Extreme term for useless or stupid,Useless/Stupid,Negative,-1.0
corright,"Shortened corruption/amalgamation of the words ""correct"" and ""right"". To confirm that something is correct and right",Confirming something,Positive,0.139
da pau / da pao / da bao,Take away (used only when cooked food is concerned),Takeaway food,Neutral,-0.108
damn,Very,Very,Neutral,-0.083
dao,aloof,Aloof,Negative,-0.449
dey,"To call someone in a friendly informal way. Same as ""Hey!"" / They",Informal greeting/They,Neutral,-0.074
diam,"See ""t(h)iam / diam""",Quiet,Neutral,-0.137
doneded,Past tense of the word done,Done,Neutral,-0.094
don't play play,Telling others to be serious or even saying ”don't fool around”,Be serious,Neutral,-0.079
du lan,A swear term that means 'very pissed.' / Used to describe someone who is very picky and who insists on following the rules literally and blindly with no accommodation for circumstances,Very pissed/Picky,Negative,-0.959
dunnid,A corruption of 'don't need',Don't need,Neutral,-0.087
double confirm,Confirm and reconfirm. Used to emphasize the confirmation. Also to emphasize the seriousness of the topic  'Triple Confirm' is also used,Reconfirming,Neutral,-0.059
echerly,Corruption of 'actually',Actually,Neutral,-0.089
eeyer,To express disgust,Disgust,Negative,-0.845
encik,lit. 'Mister' in Malay. When used in a military context  it is used to address male warrant officers in the Singapore Armed Forces,Military title,Neutral,-0.068
eye power,Sarcastic remark to describe someone who does not contribute in group work and merely watches on,Not contributing,Negative,-0.671
falali / ferlali,"Bastardisation of the car marque ""Ferrari""",Car (Ferrari),Neutral,-0.15
fatty bom bom,To refer to someone who is fat. / A fast food restaurant in Singapore,Fat/Restaurant,Neutral,-0.064
foto,Misspelling of photo,Photo,Neutral,-0.145
fone,Misspelling of phone,Phone,Neutral,-0.123
gabra,Used to describe confusion or disorganisation,Confusion/Disorganization,Negative,-0.557
gahmen,"Mispronunciation of the word ""government""",Government (informal),Neutral,-0.096
garang,Used to describe someone as courageous or enthusiastic,Courageous/Enthusiastic,Positive,0.475
geh geh,Means faking. Usually used to describe those who are hypocritical,Faking/Hypocritical,Negative,-0.847
geh kiang,May be used to describe someone who makes rash decisions without thinking or someone who pretends to know what they are doing,Pretending to be smart,Negative,-0.706
ger,Corruption of 'girl',Girl,Neutral,-0.08
get/giat,Very cheeky; mischievous,Mischievous,Neutral,-0.077
gila,Crazy or mad,Crazy,Negative,-0.815
gone-case,Means that one is doomed,Doomed,Negative,-1.0
goondu,"Local meaning ""idiot""",Idiot,Negative,-0.907
gor chiam tua guay gu chia leng,To think that one's money can go further than it can actually afford,Overestimating wealth,Negative,-0.56
goreng,To brainwash,Brainwashing,Negative,-0.941
gostan,To reverse or go in the backward direction,Reversing,Neutral,-0.149
guai lan / kwai lan,Arrogant,Arrogant,Negative,-0.9
handphone,Mobile phone,Mobile phone,Neutral,-0.051
hao lian,"Slang term for ""boast"" or to describe someone that is narcissistic",Boasting/Narcissistic,Negative,-0.808
heng,To be lucky or fortunate,Lucky,Positive,0.586
helication,"Corruption of ""education""",Education,Neutral,-0.052
horlan,Used to denote finding oneself in a far-off place  or unexpected consequence  usually unpleasant,Lost/Unpleasant situation,Negative,-0.894
ho liao,It means done,Done,Neutral,-0.068
hong bao / hongbao,See ang pau / ang pow,Red packet with money,Positive,0.475
hong gan (liao) / hong kan (liao),Used when very angry or disappointed,Angry/Disappointed,Negative,-1.0
hosei / ho seh / ho say,Good; well,Good,Positive,0.608
Ho seh bo?,How Are You?,How are you?,Neutral,-0.136
hosei liao,The phrase means 'very good' or 'excellent' and carries the positive connotation of respite,Very good/Excellent,Positive,0.741
huat,To prosper,Prosper,Positive,0.848
hum ji / humji / hum chi / humchi,A phrase that denominates cowardly behaviour,Cowardly,Negative,-0.955
ini macam,"Like this  also ""That's how""",Like this,Neutral,-0.068
jelak,To be overly satiated by food to the point you are repulsed by it,Overly full,Negative,-0.454
jiak,To eat,Eat,Neutral,-0.115
jiak cao,Being in a situation of having no money for daily expenses (i.e.  broke). / To play foul in a game,Broke/Playing foul,Negative,-0.906
jiak zua,Used of a person who slacks while on duty,Slacking on duty,Negative,-0.689
jiak kantang,A pejorative term referring to pompous condescending intellectuals who are slightly more educated about Western cultures,Westernized snob,Negative,-0.783
jiak liao bee,Means this younger generation (son or daughter) is raised to nothing,Spoiled generation,Negative,-0.739
jia lat / jialat,Used to describe being in trouble or a terrible situation,In trouble,Negative,-0.911
jibaboom / jibabom,The sound of an explosion  indicating something has spoilt,Something spoilt,Negative,-0.779
jibai / chee bye / ci bai / chee bai,Vulgar term for the female sexual organ; or the English equivalent of 'cunt',Vulgar term for female genitalia,Negative,-1.0
jibra,"Corruption of ""zebra""",Zebra,Neutral,-0.139
jio,Invite. Could also mean asking someone out,Invite,Neutral,-0.1
jilo / jiro / zilo,"Corruption of ""zero""",Zero,Neutral,-0.083
jiuhu,Malaysia,Malaysia,Neutral,-0.087
jom,Let's go,Let's go,Positive,0.287
kae ang moh,Used of someone who tries to act like a Westerner,Acting Western,Negative,-0.577
kah kenna chiu, chiu kenna kah Used to describe a clumsy person,Clumsy person,Negative,-0.558
kana sai,bullshit,Bullshit,Negative,-0.93
khao peh khao bu,Means to complain terribly,Complaining,Negative,-0.773
kenz,Short form of kena,To get,Neutral,-0.148
kampong / kampung,Means 'village'. Figuratively used to refer to one's hometown or place of origin,Village/Hometown,Neutral,-0.087
kaninia,"Abbreviated as 'KNN""",Vulgar slang,Negative,-1.0
kar chng,Buttocks,Buttocks,Neutral,-0.063
kar pak,Parking lot; Car park,Parking lot,Neutral,-0.141
kaypoh,A busybody,Busybody,Negative,-0.658
kayu,Used to describe lack of spontaneity or wooden behaviour (lit. 'wood'),Lack of spontaneity,Negative,-0.609
kee siao,To go mad,To go mad,Negative,-0.966
keling kia,Used as a slur. An old name for Tamil Indians,Racial slur,Negative,-1.0
kena,Means to be afflicted with or to suffer from something,To be afflicted with,Negative,-0.833
kena sai,"Means to ""get into deep shit"" or get into deep trouble",In deep trouble,Negative,-1.0
kerlik,Corruption of colleague,Colleague,Neutral,-0.099
ki chia/khi chia,Die,Die,Negative,-1.0
kiam,Salty. / Used to describe a stingy or frugal person,Salty/Stingy,Negative,-0.708
khiam pa(h),Used to say that (the appearance or actions of) an individual evokes a desire to physically hit them,Annoying,Negative,-0.958
kiasi,"Used in the same manner as ""kiasu""",Afraid to lose,Negative,-0.852
kiasu,lit. 'to be afraid of losing',Afraid to lose,Negative,-0.797
kilat,Means 'excellent',Excellent,Positive,0.735
kong ka kiao,Die,Die,Negative,-1.0
kopi,Coffee,Coffee,Neutral,-0.06
kopi tiam / kopi-tiam / kopitiam,"lit. 'coffee shop'. 'Coffee shop' in Singapore refers to ""food centre""",Coffee shop/Food center,Neutral,-0.091
koyah,means that an object is torn or spoiled,Torn/Spoiled,Negative,-0.776
kuku bird/kuku jiao,A crude term to refer to the male genitalia,Crude term for male genitalia,Negative,-1.0
la(h),Interjection. Tagged at the end of a sentence as an exclamation but pronounced differently in questions,Emphasis,Neutral,-0.091
lan jiao,Refers to male genitalia (crude),Crude term for male genitalia,Negative,-1.0
lao lan,Arrogant; egoistic; pretentious,Arrogant,Negative,-0.903
lao pei huet,To have a nosebleed,To have a nosebleed,Neutral,-0.089
lao sai,To get diarrhoea,Diarrhea,Negative,-0.661
la sai,Create trouble,Creating trouble,Negative,-0.896
lagi,Means to want more of something,Wanting more,Positive,0.095
leh,"Tagged at the end of a sentence in a similar manner as ""lah"". Used to emphasize the sentence",Emphasis,Neutral,-0.071
leh chey,A gnarly  troublesome problem or situation,Troublesome problem,Negative,-0.936
lepak,Has the same meaning as relaxing,Relaxing,Positive,0.419
liao,Means 'already' or 'over'  or generally indicates the past tense,Already/Over,Neutral,-0.078
liek boh kiew / liak bo kiu,Used when one is unable to comprehend what others are saying,Not understanding,Negative,-0.602
liddat,Like (akin to) that,Like that,Neutral,-0.069
limbu / lim bu,"An arrogant way to say ""I"" (female)","Arrogant ""I"" (female)",Negative,-0.685
limpeh / lim peh / limpei,"An arrogant way to say ""I"" (male)","Arrogant ""I"" (male)",Negative,-0.687
lin lao hia / lin nao hia,"A vulgarity meaning of ""damn it""",Damn it,Negative,-1.0
lobang,"Malay word which means 'hole'  'gap' or ""opening'; also used to describe an opportunity or chance",Opportunity,Positive,0.411
lombang,"May also be pronounced and written as ""lobang""",Hitching a ride,Neutral,-0.089
long zhong / long zong,Altogether,Altogether,Neutral,-0.051
lor,Tagged at the end of a sentence in a similar manner as lah,Emphasis,Neutral,-0.135
luan,Hokkien word which means very messy,Messy,Negative,-0.706
lun zun,Means careless or clumsy,Careless/Clumsy,Negative,-0.563
mabuk,drunk,Drunk,Negative,-0.838
macam,Like; Means to resemble something,Like,Neutral,-0.138
mader,"Corruption of ""mother""",Mother,Neutral,-0.136
mafan,Troublesome,Troublesome,Negative,-0.792
mah,Usually tagged at the end of a sentence to seek agreement or argue a point,Seeking agreement,Neutral,-0.082
makan,To eat,Eat,Neutral,-0.092
makcik,An auntie persona,Auntie,Neutral,-0.124
malu,Embarrassing. Usually used when someone makes a fool of themself,Embarrassing,Negative,-0.948
mampat,Tight/firm. Usually referring to a woman's posterior or clothing,Tight/Firm,Neutral,-0.137
mang zang,Means irritable or easily annoyed,Irritable,Negative,-0.806
masak-masak,Child's play,Child's play,Neutral,-0.066
Mat,a Malay man,Malay man,Neutral,-0.125
Mat Salleh,a white person (usually a man),White person,Neutral,-0.103
mati,"lit. 'to die'. ""Die"" in the Singaporean slang context means to be doomed",Doomed,Negative,-1.0
mata,lit. 'eye'. Used as a reference to the police,Police,Neutral,-0.064
meh,Usually tagged at the end of a negative question to indicate someone is exploiting a possible loophole,Exploiting a loophole,Neutral,-0.07
mong cha cha,"To behave in a ""blur"" manner and be unaware of what is going on around",Clueless,Negative,-0.61
mug,To cram (for academic tests),Cramming,Neutral,-0.119
neh neh,A woman's chest or breasts,Breasts,Neutral,-0.146
neh neh pok,Nipples,Nipples,Neutral,-0.133
ngeow,Used to describe someone who is overly meticulous or tries to find fault in everything. / Used to refer to someone stingy,Meticulous/Stingy,Negative,-0.668
nia,"Common used to depict the meaning of ""only"". It is of a belittling tone. May also be used to downplay intensity",Only,Neutral,-0.07
nia gong,Direct Translation of 'your grandfather',Your grandfather,Neutral,-0.129
nia gong de ji dan,"Direct translation of ""your grandfather's egg""",Your grandfather's egg,Neutral,-0.144
no eye see,Means cannot bear to look at/ do not want to know,Cannot bear to look,Negative,-0.858
no horse run,Used to describe things (food usually) which are ahead of their peers,Excellent,Positive,0.74
nua(h),Lazing around  or resting,Lazing,Neutral,-0.082
O$P$,Owe Money Pay Money,Owe Money Pay Money,Negative,-1.0
Obasan,Used to describe someone sloppily dressed and out of fashion,Sloppily dressed,Negative,-0.565
obiang/orbit,"a corrupted version of English term ""off-beat"". Used to describe someone or something that is desperately out of fashion",Out of fashion,Negative,-0.743
orbi,"May be used as a single term or combined to form ""orbi quek"" or ""orbi good""  which means 'serves you right'",Serves you right,Negative,-0.963
ORD,"Short-form of ""Operationally Ready Date""  which refers to the date on which a full-time National Serviceman completes his full-time stint of National Service",Completion of National Service,Neutral,-0.11
ORD loh,Army slang. An exclamation made by NSFs close to completing their two-year NS stint in the army to jokingly provoke their counterparts who have yet to see the end of their NS stint,Exclamation of impending freedom,Positive,0.25
owadio,"Corruption of ""ORD loh""",Exclamation of impending freedom,Positive,0.214
orh,Yes; okay. Used to express acknowledgement,Acknowledgement,Neutral,-0.07
orh hor,Used when someone has done something wrong  and will now be in trouble,Impending trouble,Negative,-0.81
oso,Also,Also,Neutral,-0.067
ownself,(by) himself  herself  myself  yourself  oneself  etc,Oneself,Neutral,-0.056
pai kia,Teochew slang for 'hooligan' or 'gangster',Hooligan/Gangster,Negative,-0.964
pai seh / paiseh,Means to be embarrassed,Embarrassed,Negative,-0.859
pak chiu cheng (pcc),To masturbate,Masturbate,Neutral,-0.07
pak zam,Used to describe something faulty or not usable,Faulty,Negative,-0.77
pak tor / paktor,To go on a date. Colloquially refers to general physical intimacy,Dating,Positive,0.258
pang chance,To give chance,Giving chance,Neutral,-0.06
pang sai,To defecate,Defecate,Neutral,-0.134
pang seh,"Hokkien slang for ""to be stood up"" (at an appointment)  or cancelled upon at the last minute",Stood up,Negative,-0.926
pang jio,To urinate,Urinate,Neutral,-0.089
pariah,Used to describe something unsightly or disgusting. / In modern times  it is also used to describe something or someone of low quality,Unsightly/Low quality,Negative,-0.985
pasar malam,Refers to the night markets,Night market,Neutral,-0.098
photostat,Photocopy,Photocopy,Neutral,-0.086
pia,To work hard at something  or to rush something (such as homework),Working hard/Rushing,Neutral,-0.12
piak piak,To have sexual intercourse,Sexual intercourse,Neutral,-0.093
pian yi dao lao sai,A very low price,Very low price,Positive,0.486
pok kai,To go broke. / Used to curse people,Broke/Curse,Negative,-1.0
pon,Short form of 'ponteng'. To play truant,Playing truant,Negative,-0.686
powderful,"Corruption of ""powerful""",Powerful,Positive,0.592
pai tao,To make plans with your friends and decide to not show up,Cancelling plans,Negative,-0.857
puki,Vulgar term for female genitalia,Vulgar term for female genitalia,Negative,-1.0
pundek,Vulgar term for female genitalia,Vulgar term for female genitalia,Negative,-1.0
rabak,A situation out of hand,Out of control,Negative,-0.99
rabz,Short form of rabak,Out of control,Negative,-0.91
rabz-kebabz,An out-of-control situation  usually with negative connotations,Out of control situation,Negative,-1.0
sabo,"To play a trick on someone  with a related meaning of ""getting someone else in trouble""",Playing a trick,Negative,-0.943
sakar,To flatter  to lick one's boots,Flattering,Negative,-0.653
saman,Used for traffic summons,Traffic summons,Negative,-0.971
sampat,Mainly used to describe a female who is a combination of silly  crazy  wacky  sassy  ditzy  etc,Silly/Crazy female,Negative,-0.563
sam seng,Gangster,Gangster,Negative,-1.0
sargen,Corruption of 'sergeant',Sergeant,Neutral,-0.14
scorching eagle,A high flyer at work,Successful person,Positive,0.515
sei,Steady,Steady,Positive,0.409
see first,"A short form of ""wait and see what happens; we’ll see.""",Procrastinating,Neutral,-0.086
see me no up,Means to be looked down upon by someone,Looked down upon,Negative,-0.898
see you very up,Means worthy of you,Worthy,Positive,0.66
sekali,Lest  what if,What if,Neutral,-0.147
selamat,'Hello’ or ‘Good’,Greeting,Positive,0.293
shame shame,"Childish slang meaning of ""very disgraceful"" or ""embarrassing""",Disgraceful/Embarrassing,Negative,-0.979
shiok,To express sheer delight with an experience  especially when eating great food,Delight,Positive,0.903
showflat,An event held by an estate agency that spans several weeks to promote a housing project  usually condominiums,Real estate promotion,Neutral,-0.142
sia(h),An exclamation,Exclamation,Neutral,-0.127
siam,Get out of the way!,Get out of the way,Negative,-0.84
sian / sien,Bored  tired  or sick of something,Bored,Negative,-0.836
siao,Crazy. / An offensive term used to address a friend. / Used to refer to somebody who is a fanatic,Crazy/Fanatic,Negative,-0.715
sia suay,See xia suay,Disgrace,Negative,-0.948
sibe(h) / si be(h),Similar to 'very',Very,Neutral,-0.073
simi / si mi,What?,What?,Neutral,-0.105
X (verb) simi X,What/why are you... in a derogatory sense,Derogatory question,Negative,-0.98
Si mi lan jiao,"A much more derogatory term of ""What's up?""","Derogatory ""What's up?""",Negative,-1.0
Si mi tai dzi,"Taiwan equivalent 啥物代誌／啥物代志 meaning ""What's up?""",What's up?,Neutral,-0.054
slow-po(ke),A person who is extremely slow,Slow person,Negative,-0.542
smoke,To confuse and convince someone or an entity (group/organisation/class of people),Confuse,Negative,-0.731
sod,Used to express a machine  person  or object that has gone mental or haywire,Haywire,Negative,-0.78
solid,Very good,Very good,Positive,0.723
